disaster_type, severity, road_blocked, district, recommended_resources
FOREST_FIRE  ,        2,            1, Jumla   ,                     4
FIRE         ,        7,            1, Dolpa   ,                     6
FLOOD        ,        4,            0, Bardiya ,                     4
FLOOD        ,        4,            1, Banke   ,                     6
FLOOD        ,        6,            1, Dang    ,                     7
FLOOD        ,       10,            1, Jumla   ,                     8
FOREST_FIRE  ,        5,            1, Salyan  ,                     5
FLOOD        ,        9,            0, Bardiya ,                     6
FIRE         ,        7,            0, Jumla   ,                     4
FOREST_FIRE  ,       10,            1, Banke   ,                     8
FIRE         ,        6,            1, Dang    ,                     6
FOREST_FIRE  ,        8,            0, Dang    ,                     5
FIRE         ,        8,            0, Rolpa   ,                     5
FLOOD        ,        6,            0, Bardiya ,                     5
FOREST_FIRE  ,        4,            0, Jumla   ,                     3
FOREST_FIRE  ,        9,            1, Dolpa   ,                     7
FLOOD        ,        4,            1, Jumla   ,                     6
FOREST_FIRE  ,        3,            0, Jumla   ,                     2
FLOOD        ,        6,            1, Jumla   ,                     7
FLOOD        ,        8,            1, Surkhet ,                     8
FIRE         ,        2,            0, Banke   ,                     2
FLOOD        ,        4,            0, Surkhet ,                     4
FLOOD        ,        5,            0, Banke   ,                     4
FOREST_FIRE  ,        6,            0, Rolpa   ,                     4
FIRE         ,        1,            1, Rolpa   ,                     3
FIRE         ,        9,            0, Bardiya ,                     5
FLOOD        ,        4,            1, Banke   ,                     6
FIRE         ,        3,            0, Salyan  ,                     2
FIRE         ,        2,            0, Kailali ,                     2
FOREST_FIRE  ,        1,            1, Banke   ,                     3
FOREST_FIRE  ,        2,            0, Kailali ,                     2
FLOOD        ,        1,            1, Rolpa   ,                     4
FOREST_FIRE  ,        2,            1, Dang    ,                     4
FOREST_FIRE  ,        2,            1, Rukum   ,                     4
FLOOD        ,        3,            0, Dang    ,                     3
FIRE         ,        9,            0, Dang    ,                     5
FOREST_FIRE  ,        3,            1, Dang    ,                     4
FIRE         ,        7,            0, Kailali ,                     4
FOREST_FIRE  ,        3,            1, Salyan  ,                     4
FLOOD        ,        1,            0, Kailali ,                     2
FOREST_FIRE  ,        2,            0, Dang    ,                     2
FLOOD        ,       10,            0, Banke   ,                     7
FIRE         ,        8,            0, Salyan  ,                     5
FIRE         ,        1,            0, Salyan  ,                     1
FLOOD        ,        5,            1, Jumla   ,                     6
FOREST_FIRE  ,        4,            1, Bardiya ,                     5
FOREST_FIRE  ,        7,            0, Surkhet ,                     4
FLOOD        ,        5,            1, Surkhet ,                     6
FOREST_FIRE  ,        1,            0, Rolpa   ,                     1
FIRE         ,        3,            0, Surkhet ,                     2
FOREST_FIRE  ,        3,            1, Rolpa   ,                     4
FOREST_FIRE  ,        3,            1, Rukum   ,                     4
FLOOD        ,        8,            0, Banke   ,                     6
FIRE         ,        1,            1, Bardiya ,                     3
FLOOD        ,        1,            1, Dang    ,                     4
FOREST_FIRE  ,        4,            0, Dolpa   ,                     3
FOREST_FIRE  ,        4,            0, Bardiya ,                     3
FOREST_FIRE  ,        1,            0, Banke   ,                     1
FLOOD        ,        2,            1, Salyan  ,                     5
FOREST_FIRE  ,       10,            1, Banke   ,                     8
FOREST_FIRE  ,        5,            1, Surkhet ,                     5
FIRE         ,        9,            1, Bardiya ,                     7
FLOOD        ,        7,            1, Salyan  ,                     7
FLOOD        ,        5,            0, Kailali ,                     4
FIRE         ,        2,            0, Jumla   ,                     2
FLOOD        ,       10,            0, Banke   ,                     7
FOREST_FIRE  ,        7,            0, Salyan  ,                     4
FIRE         ,        6,            0, Rolpa   ,                     4
FLOOD        ,        2,            1, Rukum   ,                     5
FOREST_FIRE  ,       10,            0, Kailali ,                     6
FOREST_FIRE  ,        1,            0, Dang    ,                     1
FOREST_FIRE  ,        8,            0, Dang    ,                     5
FOREST_FIRE  ,        9,            0, Rukum   ,                     5
FOREST_FIRE  ,        8,            1, Dolpa   ,                     7
FOREST_FIRE  ,        8,            0, Bardiya ,                     5
FLOOD        ,        9,            1, Rukum   ,                     8
FLOOD        ,        1,            1, Dang    ,                     4
FLOOD        ,        2,            0, Salyan  ,                     3
FOREST_FIRE  ,        5,            1, Bardiya ,                     5
